,p_value,corrected_p_value,Direction,Response
hsa-miR-100-5p,0.038134975534034526,0.9932253929822898,Decrease,0
hsa-miR-1229-3p,0.024150165875396694,0.9932253929822898,Increase,0
hsa-miR-22-3p,0.00911216714685733,0.9932253929822898,Decrease,0
hsa-miR-22-5p,0.02578227644061395,0.9932253929822898,Decrease,0
hsa-miR-3688-3p,0.03290778275103682,0.9932253929822898,Decrease,0
hsa-miR-3688-5p,0.03940198062529265,0.9932253929822898,Decrease,0
hsa-miR-6803-3p,0.005552902259555893,0.9932253929822898,Increase,0
