,0,1,2,3,4,5,6,7,8,9,median_p_value,corrected_p_value,Direction,Response
hsa-miR-503-5p,4.8828661537585415e-06,1.9110423246803206e-06,3.2732132608631584e-12,3.841737541597712e-09,7.577924471546146e-07,3.907610602972456e-09,1.3364784412873812e-05,4.4328747697899436e-06,0.0008539972800397939,0.00799980051561775,3.171958547235132e-06,0.0008913203517730722,Decrease,0
hsa-miR-425-3p,1.3437638023509281e-05,0.0017830000769654395,2.9822814330677e-10,5.358746788204605e-06,0.00038103160754270006,1.3848585075326793e-07,0.00011010290908277055,2.6649516498211735e-05,0.00034042386336784566,0.013802524995853657,6.837621279049114e-05,0.009606857897064006,Decrease,0
hsa-miR-24-3p,0.0001802512566922938,0.0032560455845436816,5.920825890536673e-06,0.00025883562814036363,0.00010432091586643497,1.8368327826867858e-06,4.5932007439332e-05,8.506630873352107e-06,0.003955309100019574,0.021424639341275992,0.0001422860862793644,0.013327463414833797,Decrease,0
hsa-miR-3074-5p,0.00031926640708185175,0.00421041037895265,5.7471458031420855e-05,0.0006851938975209715,0.00012136278703369801,6.484077321452327e-06,6.522025954196403e-05,1.0371776613810426e-06,0.006835644001709733,0.023027474537247045,0.00022031459705777488,0.015477100443308685,Decrease,0
hsa-miR-3909,0.002592050981970294,0.003183872452314879,0.00046894122407790045,0.00012364399819384485,1.7092979486028633e-05,0.0005104561024741778,0.0003733057817587788,0.004225291623380511,0.00013978320547943516,0.05210862975426699,0.0004896986632760391,0.027521064876113395,Increase,0
hsa-miR-3605-3p,0.0009529052249994221,0.021924869940488693,0.0014255212093800082,1.8837752843571468e-06,0.000949115613328497,0.00039613736632828717,1.0263757069310423e-05,0.00043703464510310336,0.00034272749878631246,0.003156755607355445,0.0006930751292158002,0.03245901855160664,Increase,0
hsa-miR-146a-5p,1.6392146171460476e-05,0.16102844580587622,4.932078204313814e-05,3.8164789259309956e-05,0.04845379716939238,0.0007311143709056917,0.001816752195757376,0.0005646822135117945,0.07005464242241169,0.09182017974950993,0.001273933283331534,0.04554143546328796,Decrease,0
hsa-miR-3173-5p,0.000501245351738867,0.008622658654556711,0.0006296638928965854,2.381231447105218e-05,0.00592305304359699,2.514589280305067e-05,7.592741422456818e-07,0.001963442752699882,0.0025394098485303934,0.012076491700254223,0.0012965533227982337,0.04554143546328796,Increase,0
