"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4"
"LAMC2","0.0244","0.108","0.0246","1","hsa-miR-146a-5p","","",""
"NCOA5","0.0244","0.108","0.0246","1","hsa-miR-24-3p","","",""
"OLR1","0.0238","0.108","0.125","2","hsa-miR-3184-5p","hsa-miR-24-3p","",""
"PER2","0.0243","0.108","0.126","2","hsa-miR-24-3p","hsa-miR-425-3p","",""
"POLL","0.0243","0.108","0.126","2","hsa-miR-24-3p","hsa-miR-3184-5p","",""
"POLR3H","0.0244","0.108","0.0246","1","hsa-miR-423-3p","","",""
"PPAN","0.0244","0.108","0.0246","1","hsa-miR-423-3p","","",""
"PRKCE","0.0244","0.108","0.0246","1","hsa-miR-146a-5p","","",""
"RIN3","0.0244","0.108","0.0246","1","hsa-miR-3184-5p","","",""
"RPL26","0.0244","0.108","0.0246","1","hsa-miR-423-3p","","",""
"SCML2","0.0238","0.108","0.125","2","hsa-miR-24-3p","hsa-miR-423-3p","",""
"SLC35B2","0.0244","0.108","0.0246","1","hsa-miR-24-3p","","",""
"TOP1","0.0244","0.108","0.0246","1","hsa-miR-24-3p","","",""
"TRAF7","0.0232","0.108","0.123","2","hsa-miR-3074-5p","hsa-miR-3184-5p","",""
"RIF1","0.0249","0.110","0.128","2","hsa-miR-24-3p","hsa-miR-503-5p","",""
"RBBP4","0.0255","0.113","0.129","2","hsa-miR-423-3p","hsa-miR-24-3p","",""
"ACACA","0.0266","0.115","0.132","2","hsa-miR-24-3p","hsa-miR-3074-5p","",""
"C15orf39","0.0274","0.115","0.0277","1","hsa-miR-24-3p","","",""
"CNDP2","0.0274","0.115","0.0277","1","hsa-miR-24-3p","","",""
"CYP11B2","0.0274","0.115","0.0277","1","hsa-miR-24-3p","","",""
"CYTB","0.0274","0.115","0.0277","1","hsa-miR-423-3p","","",""
"DTL","0.0274","0.115","0.0277","1","hsa-miR-24-3p","","",""
"GFOD1","0.0274","0.115","0.0277","1","hsa-miR-24-3p","","",""
"GYG2","0.0274","0.115","0.0277","1","hsa-miR-24-3p","","",""
"KIF1A","0.0274","0.115","0.0277","1","hsa-miR-423-3p","","",""
"LIMS2","0.0274","0.115","0.0277","1","hsa-miR-3184-5p","","",""
"LRRC10","0.0274","0.115","0.0277","1","hsa-miR-24-3p","","",""
"NCSTN","0.0274","0.115","0.0277","1","hsa-miR-24-3p","","",""
"NEMP1","0.0274","0.115","0.0277","1","hsa-miR-24-3p","","",""
"NT5DC2","0.0274","0.115","0.0277","1","hsa-miR-423-3p","","",""
"NXPE2","0.0274","0.115","0.0277","1","hsa-miR-24-3p","","",""
"OARD1","0.0274","0.115","0.0277","1","hsa-miR-24-3p","","",""
"PSME3","0.0260","0.115","0.131","2","hsa-miR-24-3p","hsa-miR-425-3p","",""
"PTENP1","0.0274","0.115","0.0277","1","hsa-miR-24-3p","","",""
"RCC1L","0.0274","0.115","0.0277","1","hsa-miR-503-5p","","",""
"SMN1","0.0274","0.115","0.0277","1","hsa-miR-146a-5p","","",""
"TMEM173","0.0274","0.115","0.0277","1","hsa-miR-24-3p","","",""
"TMEM92","0.0274","0.115","0.0277","1","hsa-miR-24-3p","","",""
"LMNB2","0.0277","0.116","0.237","3","hsa-miR-24-3p","hsa-miR-3074-5p","hsa-miR-3184-5p",""
"DYNLL2","0.0278","0.116","0.135","2","hsa-miR-503-5p","hsa-miR-24-3p","",""
